Namespace,Location,Name,Type
DR1,003cac24,hs_savedata_init_EpsodeTop,Function
DR1,0040aea0,hs_system_guide_fla_resource_load_check,Function
DR1,458314,hs_trial_nicotext_set,Function
DR1,00449f3c,hs_trial_status_speak_set_script,Function
DR1,003ab12c,hs_charamodel_fade_set,Function
DR1,0044a294,hs_trial_speek_heal,Function
DR1,425754,hs_pb_item_list_back_update,Function
DR1,003cac48,hs_savedata_Survival_init,Function
DR1,0043060c,hs_pb_map_draw,Function
DR1,0041ee5c,hs_pb_backlog_change_end,Function
DR1,0039ecd8,hs_bgmodel_load,Function
DR1,408880,hs_sound_se_pause,Function
DR1,004219b8,hs_pb_common_scrollarrow_update_ag_rp,Function
DR1,0040aa20,hs_system_guide_close,Function
DR1,0044a380,hs_kokoronpa_start,Function
DR1,0046a248,dr1_survival_ui_item_list_event,Function
DR1,00457ab0,hs_trial_mtb_ui_bar_close,Function
DR1,0039f5a4,hs_bgmodel_disp,Function
DR1,003a5bdc,hs_briefing_update_frame,Function
DR1,00403db8,hs_sequence_movie_play,Function
DR1,0043ced0,hs_trial_anagram_ui_clear,Function
DR1,436388,hs_pb_report_draw,Function
DR1,0040aa24,hs_system_guide_main,Function
DR1,003aa9b4,hs_charamodel_shadow_disp_set,Function
DR1,003abe34,hs_charamodel_all_disp,Function
DR1,00429c88,hs_pb_kotodama_draw,Function
DR1,0044c748,hs_trial_criminal_start,Function
DR1,0045f594,dr1_survival_title_exec,Function
DR1,003add38,hs_charamodel_camera_len_check,Function
DR1,0044c760,hs_trial_criminal_select,Function
DR1,004226a0,hs_pb_end,Function
DR1,00427bcc,hs_pb_item_list_close_update,Function
DR1,0044c378,hs_trial_concentration_disp_set,Function
DR1,0045319c,hs_trial_mtb_text_data_set,Function
DR1,003c4f0c,hs_result_phase_get,Function
DR1,0044cf8c,hs_trial_criminal_pause_flag,Function
DR1,0044c7bc,hs_trial_criminal_mode_end_check,Function
DR1,409164,hs_sound_se_voice_replay,Function
DR1,00438a10,hs_pb_top_draw,Function
DR1,00457d00,hs_trial_mtb_ui_chara_set,Function
DR1,417344,hs_ui_texdata_free,Function
DR1,004059c4,hs_mode_startup_main,Function
DR1,003f3578,hs_script_mode_Time_Start,Function
DR1,003b9d5c,hs_light_main_color_set,Function
DR1,003c5fd8,hs_result_mtb_hi_hit_score_get,Function
DR1,00457b4c,hs_trial_mtb_ui_mode_end_check,Function
DR1,004092bc,hs_sound_visualizer_free,Function
DR1,003be978,hs_objmodel_all_free,Function
DR1,003a65f8,hs_camera_rot_up_set,Function
DR1,0040aa1c,hs_system_guide_open,Function
DR1,403030,hs_sequence_startup_release,Function
DR1,003bf0e0,hs_result_cptr_main,Function
DR1,00435c24,hs_pb_report_change_update,Function
DR1,408864,hs_sound_se_replay,Function
DR1,003bd6fc,hs_objmodel_load,Function
DR1,425820,hs_pb_item_details_in_update,Function
DR1,004081f4,hs_skill_all_on,Function
DR1,0045bc80,hs_trial_nicotext_gaya_center_pos_get,Function
DR1,003c9294,hs_load_save_icon,Function
DR1,00427bd4,hs_pb_item_details_close_update,Function
DR1,003cbbe0,hs_savedata_add_monokumamedal,Function
DR1,00449dd4,hs_trial_save_memory_clear,Function
DR1,0044e71c,hs_trial_effect_free,Function
DR1,003adb44,hs_charamodel_mode_start_wait,Function
DR1,424314,hs_pb_common_resource_load_update,Function
DR1,00431c80,hs_pb_map_no_get,Function
DR1,0044dad4,hs_trial_dataload_start,Function
DR1,0039ef38,hs_bgmodel_free,Function
DR1,003d2ae0,hs_script_ctr_init,Function
DR1,003a8ed0,hs_charamodel_init,Function
DR1,0043d958,hs_trial_bullet_memory_check,Function
DR1,00443dc0,hs_trial_init,Function
DR1,420994,hs_pb_common_kp_scrollbase_draw,Function
